Date,Email Address,No Error,Number of Errors,Total,Error Rate,CSAT YES,CSAT Survey Count,CSAT,TeamLead,Age,Tenure,Shift
2/18/2017,maria.alindada@jasondaman.com,858,22,880,2.50%,66,137,48.18%,Buckey Barnes,62,2,AM
1/6/2017,ryan.perez@jom.com,462,13,475,2.74%,33,114,28.95%,Joey Jordison,24,6,AM
8/8/2017,joy.vargas@jasondaman.com,599,19,618,3.07%,75,147,51.02%,Joey Jordison,54,3,PM
11/28/2017,debonaire.liwanag@tuso.com,647,21,668,3.14%,77,129,59.69%,Don De Marco,51,6,MID
3/1/2017,bill.badilla@abc.com,373,13,386,3.37%,60,120,50.00%,Joey Jordison,21,4,MID
6/2/2017,jessica.higginbottom@abc.com,792,29,821,3.53%,29,149,19.46%,Buckey Barnes,65,4,PM
1/22/2017,archie.cortez@tuso.com,933,57,990,5.76%,74,130,56.92%,Buckey Barnes,49,1,AM
9/15/2017,mark.antonio@basil.com,450,0,450,0.00%,98,104,94.23%,Don De Marco,39,10,MID
2/4/2017,allan.manabat@tuso.com,392,3,395,0.76%,35,118,29.66%,Don De Marco,55,9,MID
6/14/2017,calvin.martinez@jom.com,711,4,715,0.56%,23,108,21.30%,Don De Marco,25,3,PM
1/28/2017,aljon.rivera@tuso.com,353,8,361,2.22%,62,143,43.36%,Don De Marco,31,6,AM
12/25/2017,maria.gagarin@tuso.com,1016,2,1018,0.20%,80,91,87.91%,Joey Jordison,37,10,MID
9/10/2017,avigail.manalili@basil.com,1198,4,1202,0.33%,39,99,39.39%,Joey Jordison,46,7,PM
1/5/2017,regine.samson@basil.com,661,8,669,1.20%,90,93,96.77%,Buckey Barnes,24,4,PM
7/22/2017,john.david@jom.com,386,9,395,2.28%,37,100,37.00%,Don De Marco,22,8,PM
12/7/2017,raissa.utulo@abc.com,714,5,719,0.70%,76,113,67.26%,Joey Jordison,60,9,PM
9/26/2017,bill.bautista@basil.com,1192,4,1196,0.33%,73,96,76.04%,Joey Jordison,53,7,AM
12/27/2017,joy.vargas@jasondaman.com,1189,9,1198,0.75%,48,114,42.11%,Don De Marco,64,7,AM
9/15/2017,arvin.angeles@tuso.com,579,9,588,1.53%,89,144,61.81%,Joey Jordison,22,4,AM
6/1/2017,reinerio.echauz@jasondaman.com,975,4,979,0.41%,87,144,60.42%,Don De Marco,55,7,MID
12/28/2017,jerico.alde@abc.com,707,12,719,1.67%,82,109,75.23%,Don De Marco,46,4,MID
11/1/2017,maria.tatlonghari@basil.com,579,11,590,1.86%,74,99,74.75%,Don De Marco,34,8,MID
3/10/2017,raissa.utulo@basil.com,420,12,432,2.78%,42,143,29.37%,Don De Marco,50,2,AM
2/26/2017,jonathan.euperio@tuso.com,980,13,993,1.31%,32,91,35.16%,Buckey Barnes,42,10,MID
9/8/2017,mark.antonio@tuso.com,510,11,521,2.11%,47,101,46.53%,Buckey Barnes,42,6,PM
5/3/2017,reymar.gasparillo@basil.com,433,10,443,2.26%,77,128,60.16%,Don De Marco,33,1,AM
6/21/2017,janessa.munoz@tuso.com,778,16,794,2.02%,89,134,66.42%,Don De Marco,50,5,AM
10/7/2017,lorenzo.pingul@tuso.com,1184,6,1190,0.50%,87,111,78.38%,Joey Jordison,44,4,PM
12/7/2017,jerico.alde@basil.com,369,8,377,2.12%,78,136,57.35%,Joey Jordison,36,10,AM
1/24/2017,karen.garces@jasondaman.com,378,5,383,1.31%,74,104,71.15%,Buckey Barnes,23,9,AM
6/20/2017,calvin.martinez@basil.com,1042,10,1052,0.95%,41,150,27.33%,Buckey Barnes,22,9,PM
4/23/2017,bill.bautista@tuso.com,1147,18,1165,1.55%,66,114,57.89%,Don De Marco,42,7,MID
8/16/2017,arvin.angeles@jom.com,739,13,752,1.73%,37,143,25.87%,Joey Jordison,65,1,MID
12/28/2017,rolando.cabrera@tuso.com,420,20,440,4.55%,41,104,39.42%,Buckey Barnes,42,7,PM
6/29/2017,deanly.dizon@jom.com,690,14,704,1.99%,73,118,61.86%,Buckey Barnes,40,6,MID
4/29/2017,michelle.canlas02@tuso.com,1191,19,1210,1.57%,90,140,64.29%,Buckey Barnes,24,9,PM
4/19/2017,jessica.higginbottom@jom.com,402,16,418,3.83%,57,118,48.31%,Joey Jordison,29,7,PM
7/29/2017,michelle.canlas02@jasondaman.com,1139,15,1154,1.30%,29,118,24.58%,Buckey Barnes,24,3,AM
6/4/2017,hanna.luat@abc.com,848,18,866,2.08%,84,131,64.12%,Buckey Barnes,48,8,PM
12/21/2017,marie.aguas@jom.com,1032,19,1051,1.81%,50,120,41.67%,Buckey Barnes,48,5,MID
7/31/2017,mark.antonio@jasondaman.com,531,25,556,4.50%,94,97,96.91%,Don De Marco,24,1,AM
3/17/2017,jocelyn.gerochi@abc.com,343,10,353,2.83%,57,124,45.97%,Joey Jordison,31,9,MID
12/14/2017,maria.alindada@abc.com,1174,28,1202,2.33%,63,146,43.15%,Don De Marco,64,7,AM
8/4/2017,ryan.perez@jasondaman.com,428,23,451,5.10%,44,120,36.67%,Buckey Barnes,39,10,MID
10/25/2017,marie.aguas@jom.com,662,13,675,1.93%,84,139,60.43%,Don De Marco,59,1,PM
4/20/2017,bill.bautista@basil.com,523,14,537,2.61%,86,99,86.87%,Joey Jordison,51,9,PM
10/9/2017,edward.malig@basil.com,1026,24,1050,2.29%,86,135,63.70%,Joey Jordison,63,8,MID
5/29/2017,michael.villegas@basil.com,448,16,464,3.45%,89,122,72.95%,Joey Jordison,50,1,AM
9/18/2017,jocelyn.gerochi@basil.com,1006,20,1026,1.95%,29,97,29.90%,Buckey Barnes,24,8,MID
6/3/2017,rolando.cabrera@tuso.com,386,22,408,5.39%,58,98,59.18%,Buckey Barnes,35,7,MID
7/1/2017,janessa.munoz@jasondaman.com,645,22,667,3.30%,84,127,66.14%,Buckey Barnes,34,4,AM
3/13/2017,karlo.delacruz@jasondaman.com,640,29,669,4.33%,82,142,57.75%,Buckey Barnes,27,1,PM
11/20/2017,danez.bondoc@abc.com,1089,15,1104,1.36%,24,125,19.20%,Joey Jordison,22,8,AM
11/25/2017,catherin.gajelan@basil.com,931,22,953,2.31%,85,145,58.62%,Buckey Barnes,45,10,AM
4/19/2017,jerico.alde@tuso.com,503,13,516,2.52%,32,94,34.04%,Joey Jordison,36,8,PM
10/4/2017,deanly.dizon@jom.com,786,19,805,2.36%,86,141,60.99%,Joey Jordison,52,6,AM
6/16/2017,debonaire.liwanag@tuso.com,598,21,619,3.39%,95,145,65.52%,Don De Marco,43,3,AM
12/1/2017,jocelyn.gerochi@tuso.com,1167,13,1180,1.10%,38,103,36.89%,Joey Jordison,24,8,AM
2/7/2017,aljon.rivera@jasondaman.com,473,29,502,5.78%,50,143,34.97%,Buckey Barnes,25,3,MID
10/4/2017,debonaire.liwanag@jom.com,972,57,1029,5.54%,91,91,100.00%,Buckey Barnes,44,2,MID
12/20/2017,valesca.castro@abc.com,621,0,621,0.00%,27,102,26.47%,Don De Marco,61,3,PM
9/24/2017,jessica.higginbottom@basil.com,451,3,454,0.66%,21,142,14.79%,Don De Marco,23,9,MID
7/14/2017,reymar.gasparillo@basil.com,666,4,670,0.60%,24,123,19.51%,Don De Marco,22,3,MID
12/15/2017,maria.gagarin@basil.com,838,8,846,0.95%,48,137,35.04%,Don De Marco,28,7,AM
4/5/2017,deanly.dizon@jasondaman.com,950,2,952,0.21%,77,117,65.81%,Joey Jordison,35,7,MID
11/20/2017,regine.samson@tuso.com,654,4,658,0.61%,21,126,16.67%,Joey Jordison,62,1,PM
9/7/2017,ryan.perez@basil.com,821,8,829,0.97%,44,134,32.84%,Buckey Barnes,37,8,PM
4/11/2017,joy.vargas@basil.com,1106,9,1115,0.81%,94,114,82.46%,Don De Marco,30,2,PM
1/7/2017,rey.mallari@basil.com,835,5,840,0.60%,95,141,67.38%,Joey Jordison,49,7,AM
4/28/2017,may.lumba@jom.com,980,4,984,0.41%,21,149,14.09%,Joey Jordison,63,4,PM
2/28/2017,julien.reyes@jom.com,328,9,337,2.67%,69,147,46.94%,Don De Marco,54,7,AM
1/30/2017,bill.badilla@abc.com,551,9,560,1.61%,78,92,84.78%,Joey Jordison,38,1,AM
4/30/2017,rolando.cabrera@basil.com,476,4,480,0.83%,44,139,31.65%,Don De Marco,34,1,PM
3/17/2017,jonathan.euperio@jasondaman.com,488,12,500,2.40%,86,138,62.32%,Don De Marco,64,10,MID
12/4/2017,ryan.perez@tuso.com,994,11,1005,1.09%,63,141,44.68%,Don De Marco,52,10,PM
1/5/2017,maria.tatlonghari@tuso.com,995,12,1007,1.19%,63,140,45.00%,Don De Marco,59,1,AM
6/25/2017,ryan.perez@basil.com,1021,13,1034,1.26%,29,134,21.64%,Buckey Barnes,35,7,MID
11/6/2017,lea.sahagun@tuso.com,485,11,496,2.22%,60,116,51.72%,Buckey Barnes,37,4,AM
9/19/2017,rey.mallari@jasondaman.com,559,10,569,1.76%,98,95,103.16%,Don De Marco,51,3,PM
4/21/2017,michelle.canlas02@tuso.com,486,16,502,3.19%,33,92,35.87%,Don De Marco,25,5,PM
2/11/2017,reymar.gasparillo@tuso.com,1186,6,1192,0.50%,81,135,60.00%,Joey Jordison,51,2,MID
7/15/2017,danez.bondoc@jom.com,560,8,568,1.41%,37,119,31.09%,Joey Jordison,25,10,MID
2/9/2017,marie.aguas@jasondaman.com,651,5,656,0.76%,79,99,79.80%,Buckey Barnes,46,3,MID
12/29/2017,ranie.liwanag@jasondaman.com,435,10,445,2.25%,63,101,62.38%,Buckey Barnes,56,6,PM
9/22/2017,jocelyn.gerochi@jom.com,420,18,438,4.11%,94,103,91.26%,Don De Marco,51,9,MID
4/20/2017,julien.reyes@jasondaman.com,638,13,651,2.00%,90,100,90.00%,Joey Jordison,21,5,AM
7/14/2017,angelo.agbannaoag@jom.com,503,20,523,3.82%,93,93,100.00%,Buckey Barnes,45,5,MID
7/21/2017,hanna.luat@jasondaman.com,319,14,333,4.20%,97,128,75.78%,Buckey Barnes,28,3,PM
6/4/2017,karen.garces@tuso.com,425,19,444,4.28%,100,120,83.33%,Buckey Barnes,28,7,PM
7/23/2017,karen.garces@basil.com,528,16,544,2.94%,43,122,35.25%,Joey Jordison,36,4,MID
12/6/2017,aljen.lizada@jasondaman.com,1099,15,1114,1.35%,29,129,22.48%,Buckey Barnes,24,8,AM
7/20/2017,lorenzo.pingul@abc.com,987,18,1005,1.79%,23,124,18.55%,Buckey Barnes,35,7,MID
11/27/2017,valesca.castro@jom.com,1082,19,1101,1.73%,20,110,18.18%,Buckey Barnes,25,1,PM
5/10/2017,calvin.martinez@jom.com,868,25,893,2.80%,30,118,25.42%,Don De Marco,46,3,AM
1/3/2017,jerico.alde@basil.com,638,10,648,1.54%,98,136,72.06%,Joey Jordison,58,5,MID
8/7/2017,archie.cortez@basil.com,837,28,865,3.24%,27,148,18.24%,Don De Marco,55,9,AM
5/26/2017,karlo.delacruz@basil.com,774,23,797,2.89%,88,150,58.67%,Buckey Barnes,39,8,MID
7/5/2017,bill.bautista@jasondaman.com,1069,13,1082,1.20%,90,93,96.77%,Don De Marco,40,5,AM
7/22/2017,ranie.liwanag@jasondaman.com,741,14,755,1.85%,43,140,30.71%,Joey Jordison,55,2,PM
7/31/2017,danez.bondoc@basil.com,419,24,443,5.42%,72,132,54.55%,Joey Jordison,25,9,AM
8/26/2017,janessa.munoz@jom.com,489,16,505,3.17%,44,142,30.99%,Joey Jordison,55,9,PM
2/18/2017,mark.gonzales@jom.com,571,20,591,3.38%,97,132,73.48%,Buckey Barnes,63,7,AM
7/25/2017,ryan.perez@tuso.com,473,22,495,4.44%,54,110,49.09%,Buckey Barnes,24,10,AM
3/16/2017,allan.manabat@jom.com,574,22,596,3.69%,51,131,38.93%,Buckey Barnes,47,9,PM
10/8/2017,marie.aguas@jasondaman.com,326,29,355,8.17%,76,96,79.17%,Buckey Barnes,58,5,PM
4/22/2017,edward.malig@jasondaman.com,599,15,614,2.44%,34,95,35.79%,Joey Jordison,65,1,MID
6/8/2017,portia.bautista@jom.com,588,22,610,3.61%,93,111,83.78%,Buckey Barnes,28,6,PM
5/21/2017,lorenzo.pingul@basil.com,665,13,678,1.92%,56,100,56.00%,Joey Jordison,24,10,PM
1/28/2017,aljen.lizada@jom.com,1185,19,1204,1.58%,96,140,68.57%,Joey Jordison,47,1,PM
5/6/2017,michael.villegas@tuso.com,811,21,832,2.52%,66,92,71.74%,Don De Marco,37,10,AM
1/3/2017,jammie.egbert@tuso.com,367,13,380,3.42%,76,95,80.00%,Joey Jordison,48,8,MID
6/18/2017,reinerio.echauz@jom.com,1026,29,1055,2.75%,98,99,98.99%,Buckey Barnes,33,3,PM
1/31/2017,mark.antonio@jasondaman.com,603,57,660,8.64%,59,121,48.76%,Buckey Barnes,31,7,MID
11/24/2017,lorenzo.pingul@jasondaman.com,526,0,526,0.00%,65,118,55.08%,Don De Marco,57,7,MID
8/17/2017,john.david@abc.com,832,3,835,0.36%,45,104,43.27%,Don De Marco,29,5,MID
4/28/2017,jammie.egbert@tuso.com,977,4,981,0.41%,24,138,17.39%,Don De Marco,39,9,MID
12/16/2017,julien.reyes@jom.com,908,8,916,0.87%,84,142,59.15%,Don De Marco,27,4,AM
7/15/2017,raissa.utulo@jom.com,671,2,673,0.30%,23,119,19.33%,Joey Jordison,61,6,MID
1/24/2017,lea.sahagun@basil.com,326,4,330,1.21%,91,107,85.05%,Joey Jordison,52,2,AM
8/3/2017,regine.samson@jom.com,323,8,331,2.42%,43,100,43.00%,Buckey Barnes,65,5,AM
11/21/2017,jessica.higginbottom@jasondaman.com,1125,9,1134,0.79%,73,119,61.34%,Don De Marco,26,2,PM
8/19/2017,edward.malig@jom.com,783,5,788,0.63%,99,94,105.32%,Joey Jordison,45,1,PM
8/9/2017,arvin.angeles@basil.com,344,4,348,1.15%,81,112,72.32%,Joey Jordison,56,2,PM
8/9/2017,marion.yutuc@basil.com,441,9,450,2.00%,85,134,63.43%,Don De Marco,53,10,PM
3/11/2017,jammie.egbert@basil.com,787,9,796,1.13%,82,128,64.06%,Joey Jordison,65,3,PM
5/31/2017,karen.garces@jom.com,769,4,773,0.52%,78,135,57.78%,Don De Marco,34,10,PM
4/13/2017,valesca.castro@tuso.com,516,12,528,2.27%,79,109,72.48%,Don De Marco,57,1,MID
8/28/2017,arvin.angeles@abc.com,543,11,554,1.99%,49,123,39.84%,Don De Marco,52,8,MID
12/22/2017,lucky.morales@abc.com,1199,12,1211,0.99%,78,108,72.22%,Don De Marco,36,4,PM
10/30/2017,lorenzo.pingul@jom.com,980,13,993,1.31%,52,117,44.44%,Buckey Barnes,48,1,PM
11/4/2017,maria.alindada@jasondaman.com,352,11,363,3.03%,75,125,60.00%,Buckey Barnes,61,5,PM
12/13/2017,maria.tatlonghari@jasondaman.com,899,10,909,1.10%,100,138,72.46%,Don De Marco,50,7,PM
9/23/2017,aljon.rivera@jasondaman.com,974,16,990,1.62%,98,105,93.33%,Don De Marco,41,8,PM
6/9/2017,bill.badilla@basil.com,520,6,526,1.14%,52,116,44.83%,Joey Jordison,50,5,AM
9/4/2017,marie.aguas@abc.com,378,8,386,2.07%,24,140,17.14%,Joey Jordison,41,4,AM
2/25/2017,jocelyn.gerochi@jasondaman.com,907,5,912,0.55%,66,111,59.46%,Buckey Barnes,36,8,PM
3/19/2017,jammie.egbert@jasondaman.com,925,10,935,1.07%,24,132,18.18%,Buckey Barnes,63,3,AM
10/25/2017,karlo.delacruz@abc.com,1085,18,1103,1.63%,44,139,31.65%,Don De Marco,28,6,PM
9/5/2017,marion.yutuc@abc.com,300,13,313,4.15%,35,141,24.82%,Joey Jordison,62,3,AM
1/1/2017,lucky.morales@basil.com,654,20,674,2.97%,77,122,63.11%,Buckey Barnes,56,7,AM
9/12/2017,portia.bautista@abc.com,1021,14,1035,1.35%,52,144,36.11%,Buckey Barnes,36,8,MID
3/24/2017,john.david@basil.com,317,19,336,5.65%,23,97,23.71%,Buckey Barnes,29,6,PM
9/21/2017,debonaire.liwanag@jasondaman.com,665,16,681,2.35%,59,104,56.73%,Joey Jordison,50,4,AM
4/9/2017,maria.alindada@tuso.com,686,15,701,2.14%,52,149,34.90%,Buckey Barnes,34,4,AM
8/13/2017,lea.sahagun@tuso.com,819,18,837,2.15%,56,136,41.18%,Buckey Barnes,61,7,MID
1/27/2017,marie.aguas@basil.com,1186,19,1205,1.58%,86,102,84.31%,Buckey Barnes,60,5,PM
3/1/2017,rey.mallari@jom.com,1109,25,1134,2.20%,78,105,74.29%,Don De Marco,56,7,AM
8/19/2017,marie.aguas@basil.com,1097,10,1107,0.90%,75,122,61.48%,Joey Jordison,52,1,AM
6/4/2017,karen.garces@tuso.com,911,28,939,2.98%,77,101,76.24%,Don De Marco,40,3,MID
6/3/2017,may.lumba@tuso.com,1076,23,1099,2.09%,45,140,32.14%,Buckey Barnes,36,5,AM
8/8/2017,ryan.perez@jasondaman.com,306,13,319,4.08%,23,103,22.33%,Don De Marco,49,2,MID
5/10/2017,michelle.canlas02@jom.com,711,14,725,1.93%,28,130,21.54%,Joey Jordison,58,6,MID
8/7/2017,edward.malig@tuso.com,600,24,624,3.85%,55,146,37.67%,Joey Jordison,21,1,AM
5/4/2017,rey.mallari@basil.com,1019,16,1035,1.55%,49,112,43.75%,Joey Jordison,34,6,PM
12/20/2017,john.david@jom.com,671,20,691,2.89%,68,94,72.34%,Buckey Barnes,53,8,MID
8/4/2017,joy.vargas@basil.com,846,22,868,2.53%,32,114,28.07%,Buckey Barnes,22,2,MID
6/13/2017,jessica.higginbottom@tuso.com,714,22,736,2.99%,49,144,34.03%,Buckey Barnes,27,6,PM
1/7/2017,rolando.cabrera@jasondaman.com,1050,29,1079,2.69%,46,102,45.10%,Buckey Barnes,36,5,MID
10/20/2017,jessica.higginbottom@basil.com,985,15,1000,1.50%,96,117,82.05%,Joey Jordison,52,8,MID
11/27/2017,danez.bondoc@basil.com,759,22,781,2.82%,86,99,86.87%,Buckey Barnes,37,7,MID
8/9/2017,ryan.perez@jom.com,595,13,608,2.14%,36,122,29.51%,Joey Jordison,58,7,MID
9/24/2017,danez.bondoc@jasondaman.com,1070,19,1089,1.74%,84,123,68.29%,Joey Jordison,54,2,MID
7/15/2017,mark.antonio@jom.com,872,21,893,2.35%,91,119,76.47%,Don De Marco,26,3,MID
2/14/2017,portia.bautista@jasondaman.com,909,13,922,1.41%,70,148,47.30%,Joey Jordison,31,6,PM
11/20/2017,bernard.gana@jasondaman.com,621,29,650,4.46%,23,116,19.83%,Buckey Barnes,47,8,PM
5/27/2017,maria.gagarin@jom.com,814,57,871,6.54%,33,100,33.00%,Buckey Barnes,41,3,PM
6/19/2017,arvin.angeles@jasondaman.com,987,0,987,0.00%,66,116,56.90%,Don De Marco,35,5,MID
1/15/2017,valesca.castro@basil.com,1065,3,1068,0.28%,88,129,68.22%,Don De Marco,27,6,AM
7/20/2017,wren.tabios@jom.com,462,4,466,0.86%,94,112,83.93%,Don De Marco,52,5,PM
4/16/2017,julien.reyes@tuso.com,959,8,967,0.83%,36,148,24.32%,Don De Marco,55,4,MID
1/15/2017,maria.alindada@basil.com,600,2,602,0.33%,72,118,61.02%,Joey Jordison,42,9,AM
6/29/2017,michael.villegas@jom.com,409,4,413,0.97%,40,106,37.74%,Joey Jordison,65,1,MID
8/25/2017,deanly.dizon@abc.com,679,8,687,1.16%,35,124,28.23%,Buckey Barnes,30,1,PM
7/11/2017,edward.malig@abc.com,580,9,589,1.53%,42,113,37.17%,Don De Marco,51,2,PM
2/18/2017,jonathan.euperio@basil.com,644,5,649,0.77%,72,126,57.14%,Joey Jordison,63,10,MID
5/11/2017,debonaire.liwanag@basil.com,1172,4,1176,0.34%,29,139,20.86%,Joey Jordison,65,3,AM
10/19/2017,deanly.dizon@tuso.com,939,9,948,0.95%,75,134,55.97%,Don De Marco,59,6,PM
6/29/2017,valesca.castro@jasondaman.com,991,9,1000,0.90%,35,113,30.97%,Joey Jordison,48,10,PM
11/13/2017,janessa.munoz@tuso.com,800,4,804,0.50%,91,110,82.73%,Don De Marco,33,5,AM
7/14/2017,archie.cortez@abc.com,514,12,526,2.28%,90,135,66.67%,Don De Marco,65,7,MID
5/13/2017,jessica.higginbottom@jasondaman.com,631,11,642,1.71%,27,93,29.03%,Don De Marco,30,9,AM
12/20/2017,calvin.martinez@tuso.com,1187,12,1199,1.00%,72,94,76.60%,Don De Marco,43,4,PM
9/23/2017,bernard.gana@basil.com,492,13,505,2.57%,88,119,73.95%,Buckey Barnes,29,6,AM
7/25/2017,mark.gonzales@jasondaman.com,343,11,354,3.11%,21,105,20.00%,Buckey Barnes,37,1,AM
7/26/2017,karen.garces@abc.com,1040,10,1050,0.95%,43,125,34.40%,Don De Marco,40,10,AM
8/7/2017,john.david@jasondaman.com,319,16,335,4.78%,28,112,25.00%,Don De Marco,28,2,PM
8/21/2017,karlo.delacruz@basil.com,978,6,984,0.61%,44,120,36.67%,Joey Jordison,62,1,AM
9/14/2017,portia.bautista@jasondaman.com,1082,8,1090,0.73%,38,93,40.86%,Joey Jordison,52,5,MID
1/30/2017,arvin.angeles@jasondaman.com,528,5,533,0.94%,92,113,81.42%,Buckey Barnes,27,3,AM
11/15/2017,rey.mallari@tuso.com,573,10,583,1.72%,59,126,46.83%,Buckey Barnes,57,1,AM
11/30/2017,bill.bautista@abc.com,504,18,522,3.45%,62,94,65.96%,Don De Marco,36,5,AM
4/28/2017,archie.cortez@jom.com,369,13,382,3.40%,25,90,27.78%,Joey Jordison,65,4,MID
12/21/2017,jessica.higginbottom@basil.com,500,20,520,3.85%,76,105,72.38%,Buckey Barnes,46,4,AM
12/17/2017,wren.tabios@basil.com,754,14,768,1.82%,59,114,51.75%,Buckey Barnes,43,3,MID
1/5/2017,bernard.gana@tuso.com,1057,19,1076,1.77%,90,139,64.75%,Buckey Barnes,39,1,PM
3/21/2017,jammie.egbert@abc.com,901,16,917,1.74%,86,105,81.90%,Joey Jordison,58,10,MID
1/19/2017,maria.alindada@basil.com,1184,15,1199,1.25%,47,116,40.52%,Buckey Barnes,54,4,MID
12/4/2017,bill.bautista@jasondaman.com,1144,18,1162,1.55%,73,124,58.87%,Buckey Barnes,43,8,MID
4/1/2017,avigail.manalili@basil.com,885,19,904,2.10%,50,109,45.87%,Buckey Barnes,51,3,PM
3/7/2017,aljen.lizada@jasondaman.com,1054,25,1079,2.32%,29,112,25.89%,Don De Marco,36,10,AM
